Date,Month,Year,Volume_Million,Value_Crore
2022-10-29,October,2022,220.81,36208.01
2022-10-30,October,2022,217.295,28111.77
2022-10-31,October,2022,232.113,47325.3
2022-11-01,November,2022,249.44,50700.08
2022-11-02,November,2022,250.021,47432.82
2022-11-03,November,2022,243.482,45208.17
2022-11-04,November,2022,245.259,43645.17
2022-11-05,November,2022,252.834,44653.94
2022-11-06,November,2022,242.483,33841.13
2022-11-07,November,2022,245.245,45347.9
2022-11-08,November,2022,234.878,38528.36
2022-11-09,November,2022,251.471,43709.259
2022-11-10,November,2022,253.475,44760.22
2022-11-11,November,2022,244.348,41603.7
2022-11-12,November,2022,247.371,37328.49
2022-11-13,November,2022,246.071,29862.99
2022-11-14,November,2022,246.178,41601.59
2022-11-15,November,2022,246.709,41038.85
2022-11-16,November,2022,246.006,39877.66
2022-11-17,November,2022,241.94,38887.99
2022-11-18,November,2022,241.523,36774.04
2022-11-19,November,2022,243.564,36893.0
2022-11-20,November,2022,239.196,30141.8
2022-11-21,November,2022,226.549,37029.58
2022-11-22,November,2022,242.05,38450.98
2022-11-23,November,2022,241.147,37158.59
2022-11-24,November,2022,239.062,37188.36
2022-11-25,November,2022,241.307,37146.94
2022-11-26,November,2022,241.445,35261.16
2022-11-27,November,2022,234.136,27955.44
2022-11-28,November,2022,235.987,38785.39
2022-11-29,November,2022,238.96,39732.245
2022-11-30,November,2022,257.319,50047.55
2022-12-01,December,2022,269.215,53457.06
2022-12-02,December,2022,266.028,48531.22
2022-12-03,December,2022,264.104,46558.2
2022-12-04,December,2022,252.483,37265.1
2022-12-05,December,2022,263.016,50169.23
2022-12-06,December,2022,257.141,46197.13
2022-12-07,December,2022,258.398,46284.96
2022-12-08,December,2022,251.495,43719.07
2022-12-09,December,2022,248.863,42421.34
2022-12-10,December,2022,253.777,41177.7
2022-12-11,December,2022,250.837,33518.33
2022-12-12,December,2022,253.909,45151.66
2022-12-13,December,2022,255.797,43440.05
2022-12-14,December,2022,259.834,42458.09
2022-12-15,December,2022,256.141,42710.62
2022-12-16,December,2022,251.751,39520.11
2022-12-17,December,2022,248.837,37570.68
2022-12-18,December,2022,241.275,29305.27
2022-12-19,December,2022,250.276,40811.37
2022-12-20,December,2022,249.662,41271.64
2022-12-21,December,2022,250.103,40183.79
2022-12-22,December,2022,247.385,39160.3
2022-12-23,December,2022,247.796,38502.18
2022-12-24,December,2022,247.185,36227.07
2022-12-25,December,2022,233.158,28116.81
2022-12-26,December,2022,243.06,39846.63
2022-12-27,December,2022,240.922,38765.65
2022-12-28,December,2022,240.509,38372.59
2022-12-29,December,2022,244.672,39919.76
2022-12-30,December,2022,255.391,44912.73
2022-12-31,December,2022,276.47,46424.52
2023-01-01,January,2023,257.799,35576.8
2023-01-02,January,2023,264.116,50488.22
2023-01-03,January,2023,261.609,47767.96
2023-01-04,January,2023,266.412,50171.67
2023-01-05,January,2023,267.783,48732.35
2023-01-06,January,2023,260.354,45665.71
2023-01-07,January,2023,272.127,46858.16
2023-01-08,January,2023,260.793,36760.43
2023-01-09,January,2023,268.352,50045.65
2023-01-10,January,2023,270.384,48440.96
2023-01-11,January,2023,270.38,46672.56
2023-01-12,January,2023,270.892,45229.12
2023-01-13,January,2023,273.244,43782.2
2023-01-14,January,2023,263.447,37799.6
2023-01-15,January,2023,242.019,30014.56
2023-01-16,January,2023,249.819,40226.62
2023-01-17,January,2023,249.053,39728.11
2023-01-18,January,2023,257.891,41137.76
2023-01-19,January,2023,254.527,40937.69
2023-01-20,January,2023,260.83,41418.89
2023-01-21,January,2023,264.735,39750.27
2023-01-22,January,2023,252.135,31046.89
2023-01-23,January,2023,256.28,41835.44
2023-01-24,January,2023,257.381,40626.95
2023-01-25,January,2023,262.485,42730.7
2023-01-26,January,2023,241.042,31062.8
2023-01-27,January,2023,252.88,40158.06
2023-01-28,January,2023,246.81,36651.22
2023-01-29,January,2023,242.511,29669.35
2023-01-30,January,2023,250.701,44557.68
2023-01-31,January,2023,268.096,53514.4
2023-02-01,February,2023,288.981,58075.13
2023-02-02,February,2023,280.449,53349.07
2023-02-03,February,2023,274.231,48928.42
2023-02-04,February,2023,283.593,50154.95
2023-02-05,February,2023,272.452,39708.7
2023-02-06,February,2023,272.149,49382.48
2023-02-07,February,2023,280.23,51094.93
2023-02-08,February,2023,268.785,46745.96
2023-02-09,February,2023,281.71,48838.54
2023-02-10,February,2023,270.528,45521.66
2023-02-11,February,2023,267.798,42389.83
2023-02-12,February,2023,263.752,33672.53
2023-02-13,February,2023,261.376,44763.87
2023-02-14,February,2023,273.856,46194.43
2023-02-15,February,2023,275.019,46219.11
2023-02-16,February,2023,253.037,40478.39
2023-02-17,February,2023,272.541,41977.12
2023-02-18,February,2023,260.478,35674.95
2023-02-19,February,2023,255.47,31261.7
2023-02-20,February,2023,269.3,45260.1
2023-02-21,February,2023,265.099,42897.62
2023-02-22,February,2023,260.464,41562.95
2023-02-23,February,2023,261.962,40906.88
2023-02-24,February,2023,261.964,40347.83
2023-02-25,February,2023,260.602,39270.42
2023-02-26,February,2023,253.551,30904.86
2023-02-27,February,2023,264.294,45348.53
2023-02-28,February,2023,281.088,54915.62
2023-03-01,March,2023,301.207,59817.25
2023-03-02,March,2023,281.358,53383.73
2023-03-03,March,2023,294.107,52497.8
2023-03-04,March,2023,298.536,53722.03
2023-03-05,March,2023,287.01,42705.74
2023-03-06,March,2023,297.654,55488.96
2023-03-07,March,2023,278.185,43805.38
2023-03-08,March,2023,260.56,38788.84
2023-03-09,March,2023,273.011,45891.88
2023-03-10,March,2023,291.225,51625.61
2023-03-11,March,2023,282.242,44702.23
2023-03-12,March,2023,272.118,35015.26
2023-03-13,March,2023,284.208,49324.67
2023-03-14,March,2023,285.191,48479.42
2023-03-15,March,2023,285.373,48315.2
2023-03-16,March,2023,280.659,45720.014
2023-03-17,March,2023,278.461,41896.47
2023-03-18,March,2023,275.713,41909.31
2023-03-19,March,2023,267.622,33235.82
2023-03-20,March,2023,276.464,46652.05
2023-03-21,March,2023,282.932,44602.04
2023-03-22,March,2023,273.258,39965.47
2023-03-23,March,2023,271.552,42864.52
